observableId	simulationConditionId	measurement	time
obs_Cb	wt	1.6	0
obs_Cb	wt	0.211049196	10
obs_Cb	wt	0.217567414	20
obs_Cb	wt	0.224988006	30
obs_Cb	wt	0.232330468	40
obs_Cb	wt	0.23985751	50
obs_Cb	wt	0.247947758	60
obs_Cb	wt	0.257194004	70
obs_Cb	wt	0.268657884	80
obs_Cb	wt	0.284593228	90
obs_Cb	wt	0.31105466	100
obs_Cb	wt	0.372138608	110
obs_Cb	wt	0.69382898	120
obs_Cb	wt	1.546691972	130
obs_Cb	wt	1.571722084	140
obs_Cb	wt	1.574259018	150
obs_Cb	wt	1.57511568	160
obs_Cb	wt	1.575468236	170
obs_Cb	wt	1.575624466	180
obs_Cb	wt	1.575695936	190
obs_Cb	wt	1.575729102	200
obs_Cb	wt	1.575744598	210
obs_Cb	wt	1.575751868	220
obs_Cb	wt	1.575755276	230
obs_Cb	wt	1.575756878	240
obs_Cb	wt	1.57575763	250
obs_Cb	wt	1.575757984	260
obs_Cb	wt	1.575758148	270
obs_Cb	wt	1.575758226	280
obs_Cb	wt	1.575758264	290
obs_Cb	wt	1.57575828	300
obs_Gw	wt	1	0
obs_Gw	wt	0.955705378	10
obs_Gw	wt	0.95126367	20
obs_Gw	wt	0.946718642	30
obs_Gw	wt	0.942252047	40
obs_Gw	wt	0.937695359	50
obs_Gw	wt	0.932814277	60
obs_Gw	wt	0.927247087	70
obs_Gw	wt	0.920348536	80
obs_Gw	wt	0.91074403	90
obs_Gw	wt	0.894704164	100
obs_Gw	wt	0.857063611	110
obs_Gw	wt	0.651124991	120
obs_Gw	wt	0.255186336	130
obs_Gw	wt	0.245766907	140
obs_Gw	wt	0.244649281	150
obs_Gw	wt	0.244263193	160
obs_Gw	wt	0.244103014	170
obs_Gw	wt	0.244031792	180
obs_Gw	wt	0.24399916	190
obs_Gw	wt	0.243984006	200
obs_Gw	wt	0.243976925	210
obs_Gw	wt	0.243973602	220
obs_Gw	wt	0.243972043	230
obs_Gw	wt	0.243971311	240
obs_Gw	wt	0.243970967	250
obs_Gw	wt	0.243970806	260
obs_Gw	wt	0.24397073	270
obs_Gw	wt	0.243970695	280
obs_Gw	wt	0.243970678	290
obs_Gw	wt	0.24397067	300
obs_pEnsa	wt	0	0
obs_pEnsa	wt	0.000393835	10
obs_pEnsa	wt	0.000469339	20
obs_pEnsa	wt	0.000547277	30
obs_pEnsa	wt	0.000626849	40
obs_pEnsa	wt	0.000711018	50
obs_pEnsa	wt	0.000804498	60
obs_pEnsa	wt	0.000915309	70
obs_pEnsa	wt	0.001058873	80
obs_pEnsa	wt	0.001270523	90
obs_pEnsa	wt	0.001655923	100
obs_pEnsa	wt	0.002734686	110
obs_pEnsa	wt	0.016009658	120
obs_pEnsa	wt	0.253603849	130
obs_pEnsa	wt	0.428469306	140
obs_pEnsa	wt	0.511515306	150
obs_pEnsa	wt	0.550638262	160
obs_pEnsa	wt	0.569042074	170
obs_pEnsa	wt	0.577694717	180
obs_pEnsa	wt	0.581761985	190
obs_pEnsa	wt	0.583673351	200
obs_pEnsa	wt	0.584571547	210
obs_pEnsa	wt	0.584994112	220
obs_pEnsa	wt	0.585192516	230
obs_pEnsa	wt	0.585285823	240
obs_pEnsa	wt	0.585329626	250
obs_pEnsa	wt	0.585350205	260
obs_pEnsa	wt	0.585359846	270
obs_pEnsa	wt	0.585364386	280
obs_pEnsa	wt	0.58536651	290
obs_pEnsa	wt	0.585367491	300
obs_pWee	wt	0	0
obs_pWee	wt	0.049471375	10
obs_pWee	wt	0.054862303	20
obs_pWee	wt	0.060415285	30
obs_pWee	wt	0.065919077	40
obs_pWee	wt	0.07157734	50
obs_pWee	wt	0.077682847	60
obs_pWee	wt	0.084697599	70
obs_pWee	wt	0.093457914	80
obs_pWee	wt	0.105765275	90
obs_pWee	wt	0.126563002	100
obs_pWee	wt	0.176285502	110
obs_pWee	wt	0.459752716	120
obs_pWee	wt	0.982966654	130
obs_pWee	wt	0.992350061	140
obs_pWee	wt	0.993763281	150
obs_pWee	wt	0.994259012	160
obs_pWee	wt	0.99446551	170
obs_pWee	wt	0.994557474	180
obs_pWee	wt	0.994599638	190
obs_pWee	wt	0.994619225	200
obs_pWee	wt	0.99462838	210
obs_pWee	wt	0.994632676	220
obs_pWee	wt	0.99463469	230
obs_pWee	wt	0.994635637	240
obs_pWee	wt	0.994636082	250
obs_pWee	wt	0.994636291	260
obs_pWee	wt	0.994636388	270
obs_pWee	wt	0.994636434	280
obs_pWee	wt	0.994636456	290
obs_pWee	wt	0.994636466	300
obs_Cdc25	wt	1	0
obs_Cdc25	wt	0.950528625	10
obs_Cdc25	wt	0.945137697	20
obs_Cdc25	wt	0.939584715	30
obs_Cdc25	wt	0.934080923	40
obs_Cdc25	wt	0.92842266	50
obs_Cdc25	wt	0.922317153	60
obs_Cdc25	wt	0.915302401	70
obs_Cdc25	wt	0.906542086	80
obs_Cdc25	wt	0.894234725	90
obs_Cdc25	wt	0.873436998	100
obs_Cdc25	wt	0.823714498	110
obs_Cdc25	wt	0.540247284	120
obs_Cdc25	wt	0.017033346	130
obs_Cdc25	wt	0.007649939	140
obs_Cdc25	wt	0.006236719	150
obs_Cdc25	wt	0.005740988	160
obs_Cdc25	wt	0.00553449	170
obs_Cdc25	wt	0.005442526	180
obs_Cdc25	wt	0.005400362	190
obs_Cdc25	wt	0.005380775	200
obs_Cdc25	wt	0.00537162	210
obs_Cdc25	wt	0.005367324	220
obs_Cdc25	wt	0.00536531	230
obs_Cdc25	wt	0.005364363	240
obs_Cdc25	wt	0.005363918	250
obs_Cdc25	wt	0.005363709	260
obs_Cdc25	wt	0.005363612	270
obs_Cdc25	wt	0.005363566	280
obs_Cdc25	wt	0.005363544	290
obs_Cdc25	wt	0.005363534	300
obs_Ensa	wt	1	0
obs_Ensa	wt	0.951633972	10
obs_Ensa	wt	0.935911551	20
obs_Ensa	wt	0.923494182	30
obs_Ensa	wt	0.913140015	40
obs_Ensa	wt	0.904033884	50
obs_Ensa	wt	0.895556018	60
obs_Ensa	wt	0.887146758	70
obs_Ensa	wt	0.878160022	80
obs_Ensa	wt	0.867600441	90
obs_Ensa	wt	0.853395132	100
